Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Australia,AUS,2020,55751.19922,0,6743.006348
Australia,AUS,2021,53644.27344,,7968.738281
Austria,AUT,1965,19430.25781,0,6510.09668
Austria,AUT,1966,20004.44727,0,6970.336914
Austria,AUT,1967,20011.80469,0,7074.706543
Austria,AUT,1968,21569.5918,0,7227.939941
Austria,AUT,1969,23062.40234,0,6609.532715
Austria,AUT,1970,25437.70117,0,8375.655273
Austria,AUT,1971,26932.20703,0,6587.367188
Austria,AUT,1972,27793.58594,0,6742.967773
Austria,AUT,1973,29539.47266,0,7466.924805
Austria,AUT,1974,28297.16992,0,8806.34375
Austria,AUT,1975,27587.07617,0,9212.495117
Austria,AUT,1976,30112.39453,0,7958.933105
Austria,AUT,1977,28534.67773,0,9649.686523
Austria,AUT,1978,30210.71484,0,9668.586914
Austria,AUT,1979,31391.29688,0,10906.1709
Austria,AUT,1980,30854.64648,0,11311.49609
Austria,AUT,1981,28970.30078,0,11994.86914
Austria,AUT,1982,27618.61523,0,12017.61328
Austria,AUT,1983,27619.34961,0,11903.36816
Austria,AUT,1984,28666.52539,0,10436.54297
Austria,AUT,1985,29126.22461,0,12345.97754
Austria,AUT,1986,28974.50781,0,12522.96289
Austria,AUT,1987,29647.22656,0,14076.25391
Austria,AUT,1988,28907.30469,0,14066.8418
Austria,AUT,1989,29104.04102,0,13954.73828
Austria,AUT,1990,30848.85547,0,12544.42773
Austria,AUT,1991,32748.10156,0,12476.07813
Austria,AUT,1992,30467.76172,0,13712.27832
Austria,AUT,1993,30300.54492,0,14316.87891
Austria,AUT,1994,30254.86523,0,13781.87012
Austria,AUT,1995,31458.58008,0,14477.03223
Austria,AUT,1996,32565.74219,0,13270.00293
Austria,AUT,1997,32718.69727,0,13997.91797
Austria,AUT,1998,32982.49219,0,14434.55176
Austria,AUT,1999,32808.97266,0,15623.27344
Austria,AUT,2000,32522.55859,0,15985.45801
Austria,AUT,2001,34632.89063,0,15426.58203
Austria,AUT,2002,34776.35156,0,15135.9707
Austria,AUT,2003,37563.51172,0,12615.18359
Austria,AUT,2004,36802.23828,0,14053.31348
Austria,AUT,2005,37115.83984,0,14396.63477
Austria,AUT,2006,36261.57031,0,14518.69238
Austria,AUT,2007,34187.59766,0,15345.72559
Austria,AUT,2008,34551.5,0,15775.11914
Austria,AUT,2009,31908.57031,0,16675.15625
Austria,AUT,2010,34162.72266,0,15786.89941
Austria,AUT,2011,32236.61719,0,14294.82813
Austria,AUT,2012,31207.30273,0,17500.33594
Austria,AUT,2013,31117.76563,0,16952.9375
Austria,AUT,2014,29037.28711,0,16791.98047
Austria,AUT,2015,29621.7207,0,15924.98828
Austria,AUT,2016,30052.13086,0,16650.27148
Austria,AUT,2017,31013.34961,0,16337.35352
Austria,AUT,2018,30011.76172,0,15855.98926
Austria,AUT,2019,30789.57813,0,17028.77734
Austria,AUT,2020,27442.18164,0,17006.28125
Austria,AUT,2021,28473.79688,,17071.01172
Azerbaijan,AZE,1985,34661.53516,0,582.2038574
Azerbaijan,AZE,1986,36947.87891,0,350.8669434
Azerbaijan,AZE,1987,35199.08203,0,345.0209961
Azerbaijan,AZE,1988,34684.53906,0,294.5441589355469
Azerbaijan,AZE,1989,34796.03516,0,289.71490478515625
Azerbaijan,AZE,1990,35297.125,0,676.9089965820312
Azerbaijan,AZE,1991,33317.59375,0,707.0223388671875
Azerbaijan,AZE,1992,28001.76563,0,691.4881591796875
Azerbaijan,AZE,1993,23583.79688,0,946.1736450195312
Azerbaijan,AZE,1994,21533.02539,0,704.2554321289062
Azerbaijan,AZE,1995,20069.26367,0,591.7463379
Azerbaijan,AZE,1996,16191.82422,0,578.5575561523438
Azerbaijan,AZE,1997,15278.49414,0,638.7304688
Azerbaijan,AZE,1998,15128.60449,0,722.0470581054688
Azerbaijan,AZE,1999,15103.24023,0,552.9124145507812
Azerbaijan,AZE,2000,15646.80273,0,558.4346923828125
Azerbaijan,AZE,2001,15014.90723,,466.2589416503906
Azerbaijan,AZE,2002,14441.58691,,712.3353271484375
Azerbaijan,AZE,2003,15375.27051,,856.7080688476562
Azerbaijan,AZE,2004,17275.42188,,939.638916
Azerbaijan,AZE,2005,18529.97461,,1009.1990356445312
Azerbaijan,AZE,2006,18183.55273,,830.1972045898438
Azerbaijan,AZE,2007,16249.2002,,766.1983642578125
Azerbaijan,AZE,2008,16278.45703,,710.9661254882812
Azerbaijan,AZE,2009,14120.05957,,723.0256348
Azerbaijan,AZE,2010,13427.25098,,1059.1644287109375
Azerbaijan,AZE,2011,15086.37793,,807.0614624023438
Azerbaijan,AZE,2012,15609.68262,,538.9351806640625
Azerbaijan,AZE,2013,15931.18945,,455.66815185546875
Azerbaijan,AZE,2014,16081.03125,,401.1123352050781
Azerbaijan,AZE,2015,17313.49219,,490.9921569824219
Azerbaijan,AZE,2016,16850.35938,,583.3145751953125
Azerbaijan,AZE,2017,16393.83398,,515.7080078
Azerbaijan,AZE,2018,16688.38477,,528.5880737304688
Azerbaijan,AZE,2019,17498.88477,,480.8840332
Azerbaijan,AZE,2020,17149.2793,,345.6707458496094
Azerbaijan,AZE,2021,17529.7207,,394.6118469238281
Bangladesh,BGD,1971,196.6898193359375,0,7.896537780761719
Bangladesh,BGD,1972,220.2322540283203,0,7.7668681144714355
Bangladesh,BGD,1973,273.5387878417969,0,14.470711708068848
Bangladesh,BGD,1974,291.3493652,0,10.45279598236084
Bangladesh,BGD,1975,286.0413513183594,0,18.4003849
Bangladesh,BGD,1976,327.02691650390625,0,20.386659622192383
Bangladesh,BGD,1977,328.6799316,0,17.58972168
Bangladesh,BGD,1978,338.3389892578125,0,19.830829620361328
Bangladesh,BGD,1979,361.9178466796875,0,22.38842201
Bangladesh,BGD,1980,414.6994629,0,21.646602630615234
Bangladesh,BGD,1981,427.9398498535156,0,22.602109909057617
Bangladesh,BGD,1982,465.79107666015625,0,18.425662994384766
Bangladesh,BGD,1983,443.8304748535156,0,22.724288940429688
Bangladesh,BGD,1984,461.3402099609375,0,29.999134063720703
Bangladesh,BGD,1985,507.7872009277344,0,24.075742721557617
Bangladesh,BGD,1986,549.4929809570312,0,14.279210090637207
Bangladesh,BGD,1987,590.1024169921875,0,15.979353904724121
Bangladesh,BGD,1988,637.3635864257812,0,20.32836151123047
Bangladesh,BGD,1989,664.3178100585938,0,27.016401290893555
Bangladesh,BGD,1990,690.5212402,0,25.33613395690918
Bangladesh,BGD,1991,651.2994995117188,0,23.465696334838867
Bangladesh,BGD,1992,697.8532715,0,21.797391891479492
Bangladesh,BGD,1993,757.9285278320312,0,16.292152404785156
Bangladesh,BGD,1994,782.2184448242188,0,22.21590805053711
Bangladesh,BGD,1995,920.4539794921875,0,9.551103591918945
Bangladesh,BGD,1996,935.1237793,0,18.573875427246094
Bangladesh,BGD,1997,963.4169311523438,0,17.693618774414062
Bangladesh,BGD,1998,1002.59668,0,20.848852157592773
Bangladesh,BGD,1999,994.6683959960938,0,19.67552375793457
Bangladesh,BGD,2000,1048.9447021484375,0,17.349382400512695
Bangladesh,BGD,2001,1173.5665283203125,0,22.424877166748047
Bangladesh,BGD,2002,1195.102783203125,0,16.504606246948242
Bangladesh,BGD,2003,1245.951904296875,0,16.134565353393555
Bangladesh,BGD,2004,1268.743896484375,0,15.795940399169922
Bangladesh,BGD,2005,1349.3275146484375,0,15.495460510253906
Bangladesh,BGD,2006,1443.6478271484375,0,15.264739990234375
Bangladesh,BGD,2007,1459.932861328125,0,15.055760383605957
Bangladesh,BGD,2008,1524.0926513671875,0,18.85189437866211
Bangladesh,BGD,2009,1668.0765380859375,0,8.580461502075195
Bangladesh,BGD,2010,1683.030273,0,14.68340778
Bangladesh,BGD,2011,1806.617431640625,0,17.35269546508789
Bangladesh,BGD,2012,1914.2210693359375,0,15.936319351196289
Bangladesh,BGD,2013,1950.4620361328125,0,15.50166130065918
Bangladesh,BGD,2014,2009.924560546875,0,13.071833610534668
Bangladesh,BGD,2015,2307.480469,0,19.04044532775879
Bangladesh,BGD,2016,2321.123779296875,0,18.862573623657227
Bangladesh,BGD,2017,2384.142578,0,21.522140502929688
